"seqnames"	"start"	"end"	"width"	"strand"	"site_reads"	"site_mean"	"block"
"chr18.48650"	"chr18"	48650	48650	1	"*"	195	9.75	"chr18.1"
"chr18.48651"	"chr18"	48651	48651	1	"*"	488	18.7692307692308	"chr18.1"
"chr18.48665"	"chr18"	48665	48665	1	"*"	226	10.2727272727273	"chr18.1"
"chr18.48666"	"chr18"	48666	48666	1	"*"	556	21.3846153846154	"chr18.1"
"chr18.48709"	"chr18"	48709	48709	1	"*"	257	11.1739130434783	"chr18.1"
"chr18.48710"	"chr18"	48710	48710	1	"*"	597	22.9615384615385	"chr18.1"
"chr18.48727"	"chr18"	48727	48727	1	"*"	233	10.1304347826087	"chr18.1"
"chr18.48728"	"chr18"	48728	48728	1	"*"	615	23.6538461538462	"chr18.1"
"chr18.48766"	"chr18"	48766	48766	1	"*"	184	9.2	"chr18.1"
"chr18.48767"	"chr18"	48767	48767	1	"*"	502	19.3076923076923	"chr18.1"
"chr18.48781"	"chr18"	48781	48781	1	"*"	427	17.08	"chr18.1"
"chr18.48808"	"chr18"	48808	48808	1	"*"	258	10.75	"chr18.1"
"chr18.48813"	"chr18"	48813	48813	1	"*"	214	10.1904761904762	"chr18.1"
"chr18.48818"	"chr18"	48818	48818	1	"*"	222	10.0909090909091	"chr18.1"
"chr18.48821"	"chr18"	48821	48821	1	"*"	204	9.71428571428571	"chr18.1"
"chr18.49506"	"chr18"	49506	49506	1	"*"	211	11.1052631578947	"chr18.2"
"chr18.49509"	"chr18"	49509	49509	1	"*"	205	10.7894736842105	"chr18.2"
"chr18.49521"	"chr18"	49521	49521	1	"*"	195	10.2631578947368	"chr18.2"
"chr18.49530"	"chr18"	49530	49530	1	"*"	192	10.1052631578947	"chr18.2"
"chr18.49591"	"chr18"	49591	49591	1	"*"	255	12.75	"chr18.2"
"chr18.49608"	"chr18"	49608	49608	1	"*"	309	16.2631578947368	"chr18.2"
"chr18.49609"	"chr18"	49609	49609	1	"*"	183	9.63157894736842	"chr18.2"
"chr18.49610"	"chr18"	49610	49610	1	"*"	344	17.2	"chr18.2"
"chr18.49615"	"chr18"	49615	49615	1	"*"	373	16.9545454545455	"chr18.2"
"chr18.49616"	"chr18"	49616	49616	1	"*"	198	10.4210526315789	"chr18.2"
"chr18.49625"	"chr18"	49625	49625	1	"*"	429	18.6521739130435	"chr18.2"
"chr18.49626"	"chr18"	49626	49626	1	"*"	245	11.6666666666667	"chr18.2"
"chr18.49632"	"chr18"	49632	49632	1	"*"	439	18.2916666666667	"chr18.2"
"chr18.49633"	"chr18"	49633	49633	1	"*"	295	14.047619047619	"chr18.2"
"chr18.49638"	"chr18"	49638	49638	1	"*"	452	18.8333333333333	"chr18.2"
"chr18.49652"	"chr18"	49652	49652	1	"*"	449	18.7083333333333	"chr18.2"
"chr18.49653"	"chr18"	49653	49653	1	"*"	429	17.875	"chr18.2"
"chr18.49654"	"chr18"	49654	49654	1	"*"	440	18.3333333333333	"chr18.2"
"chr18.49655"	"chr18"	49655	49655	1	"*"	443	17.72	"chr18.2"
"chr18.49674"	"chr18"	49674	49674	1	"*"	344	15.6363636363636	"chr18.2"
"chr18.49675"	"chr18"	49675	49675	1	"*"	607	23.3461538461538	"chr18.2"
"chr18.49742"	"chr18"	49742	49742	1	"*"	318	15.1428571428571	"chr18.2"
"chr18.49743"	"chr18"	49743	49743	1	"*"	561	21.5769230769231	"chr18.2"
"chr18.49749"	"chr18"	49749	49749	1	"*"	332	15.0909090909091	"chr18.2"
"chr18.73022"	"chr18"	73022	73022	1	"*"	239	10.3913043478261	"chr18.3"
"chr18.73037"	"chr18"	73037	73037	1	"*"	370	14.2307692307692	"chr18.3"
"chr18.73038"	"chr18"	73038	73038	1	"*"	232	10.5454545454545	"chr18.3"
"chr18.73063"	"chr18"	73063	73063	1	"*"	310	12.9166666666667	"chr18.3"
"chr18.73064"	"chr18"	73064	73064	1	"*"	198	9.9	"chr18.3"
"chr18.73067"	"chr18"	73067	73067	1	"*"	297	12.9130434782609	"chr18.3"
"chr18.73068"	"chr18"	73068	73068	1	"*"	195	9.28571428571429	"chr18.3"
"chr18.73070"	"chr18"	73070	73070	1	"*"	301	13.0869565217391	"chr18.3"
"chr18.73071"	"chr18"	73071	73071	1	"*"	211	9.59090909090909	"chr18.3"
"chr18.73073"	"chr18"	73073	73073	1	"*"	281	12.7727272727273	"chr18.3"
"chr18.73074"	"chr18"	73074	73074	1	"*"	227	10.3181818181818	"chr18.3"
"chr18.73079"	"chr18"	73079	73079	1	"*"	288	12.5217391304348	"chr18.3"
"chr18.73080"	"chr18"	73080	73080	1	"*"	230	10.4545454545455	"chr18.3"
"chr18.73081"	"chr18"	73081	73081	1	"*"	268	12.7619047619048	"chr18.3"
"chr18.73082"	"chr18"	73082	73082	1	"*"	236	10.7272727272727	"chr18.3"
"chr18.73098"	"chr18"	73098	73098	1	"*"	292	12.695652173913	"chr18.3"
"chr18.73099"	"chr18"	73099	73099	1	"*"	302	13.1304347826087	"chr18.3"
"chr18.73117"	"chr18"	73117	73117	1	"*"	392	16.3333333333333	"chr18.3"
