chr	pos	UC_0773	NN_0141	NN_0155	UC_0854	UC_0387	UC_0366	UC_0703	UC_0288	UC_0912	UC_0895	NN_0809	NN_0681	NN_0762	NN_0643	UC_0297	NN_0477	NN_0504	NN_0662	UC_0765	UC_0524	UC_0423	UC_0426	UC_0157	UC_0508	UC_0813	UC_0994
chr18	46142	0.375	0.75	0.666666666666667	0.75	.	0.777777777777778	0.833333333333333	0.470588235294118	0.555555555555556	0.411764705882353	0.416666666666667	0.72	0.8	0.375	1	0.666666666666667	0.625	0.6	0.777777777777778	0.583333333333333	0.555555555555556	0.857142857142857	0.666666666666667	0.583333333333333	0.4	0.142857142857143
chr18	46193	0.2	0.214285714285714	0.461538461538462	0.363636363636364	0.625	0.375	0.666666666666667	0.368421052631579	.	0.421052631578947	0.0909090909090909	0.380952380952381	0.444444444444444	0.111111111111111	0.230769230769231	0.555555555555556	0.257142857142857	0.25	0.5	0.470588235294118	1	0.777777777777778	0.666666666666667	0.2	0.307692307692308	0.111111111111111
chr18	46233	1	1	0.75	0.777777777777778	.	0.285714285714286	0.75	0.863636363636364	.	0.875	0.9	0.833333333333333	0.5	0.909090909090909	0.428571428571429	0.9	0.833333333333333	0.909090909090909	0.714285714285714	0.230769230769231	.	.	0.583333333333333	.	.	.
chr18	46234	0.818181818181818	0.733333333333333	0.9	0.941176470588235	1	0.727272727272727	0.615384615384615	0.625	0.555555555555556	0.642857142857143	0.75	1	0.857142857142857	0.6	0.583333333333333	0.833333333333333	0.5625	0.611111111111111	0.857142857142857	0.6	0.5	0.6875	0.545454545454545	0.705882352941177	0.4	0.857142857142857
chr18	46242	0.9	0.733333333333333	0.941176470588235	0.933333333333333	0.875	0.923076923076923	0.647058823529412	0.75	0.777777777777778	0.703703703703704	0.857142857142857	0.956521739130435	0.88	0.875	0.5	0.894736842105263	0.72	0.888888888888889	0.9	0.523809523809524	0.875	0.705882352941177	0.833333333333333	0.705882352941177	0.6	0.583333333333333
chr18	47554	.	.	0.6	0.9	0.875	.	.	0.666666666666667	0.8	0.9	1	1	1	1	.	1	0.947368421052632	1	1	1	.	.	1	1	0.818181818181818	0.666666666666667
chr18	47609	0.666666666666667	0.888888888888889	1	1	1	1	1	0.769230769230769	0.833333333333333	0.85	1	0.857142857142857	1	0.857142857142857	1	1	0.863636363636364	1	0.875	1	1	1	0.777777777777778	1	.	0.571428571428571
chr18	47610	0.75	1	1	0.857142857142857	1	0.9	0.8	1	0.857142857142857	1	0.944444444444444	1	1	0.9	0.857142857142857	1	1	1	1	0.823529411764706	1	0.857142857142857	0.875	0.909090909090909	0.777777777777778	1
chr18	47649	1	0.5	0.882352941176471	0.857142857142857	.	0.357142857142857	0	0.769230769230769	.	0.6	0.611111111111111	0.631578947368421	0.636363636363636	0.625	0.833333333333333	0.722222222222222	0.791666666666667	0.944444444444444	0.733333333333333	0.916666666666667	0.166666666666667	0.571428571428571	0.833333333333333	0.833333333333333	1	0.625
chr18	47650	0.25	0.9	0.923076923076923	0.894736842105263	0.857142857142857	0.769230769230769	0.857142857142857	0.8	0.6	0.642857142857143	0.916666666666667	0.857142857142857	0.75	0.8	1	0.888888888888889	0.970588235294118	0.6875	0.75	0.866666666666667	0.714285714285714	0.666666666666667	0.6	1	0.777777777777778	0.642857142857143
chr18	47668	.	1	0.941176470588235	0.888888888888889	.	0.923076923076923	.	0.9375	.	0.888888888888889	1	0.894736842105263	1	0.9	1	1	0.904761904761905	1	0.6	1	.	0.857142857142857	0.666666666666667	0.857142857142857	0.833333333333333	0.888888888888889
chr18	47669	0.461538461538462	0.888888888888889	0.923076923076923	0.857142857142857	0.875	0.846153846153846	0.6	0.689655172413793	0.666666666666667	0.846153846153846	0.882352941176471	1	0.962962962962963	0.941176470588235	1	0.84	1	0.894736842105263	0.866666666666667	1	0.833333333333333	0.8125	0.666666666666667	1	0.909090909090909	1
chr18	47680	.	.	0.941176470588235	0.909090909090909	.	0.909090909090909	.	1	.	0.888888888888889	0.857142857142857	0.842105263157895	1	1	0.6	1	1	1	1	0.875	0.666666666666667	1	0.833333333333333	1	0.833333333333333	1
chr18	47681	0.846153846153846	1	0.928571428571429	0.9375	0.833333333333333	0.75	0.5	0.9	0.833333333333333	1	1	1	0.91304347826087	0.941176470588235	0.909090909090909	1	0.972222222222222	0.9	0.8	1	.	0.933333333333333	0.6	1	1	1
chr18	47686	.	.	0.764705882352941	1	.	0.333333333333333	.	0.857142857142857	.	0.7	0.8	0.6875	0.7	0.727272727272727	0.8	1	1	1	0.8	0.857142857142857	0.166666666666667	0.4	0.875	.	.	0.9
chr18	47687	0.714285714285714	1	0.928571428571429	0.944444444444444	1	0.833333333333333	0.727272727272727	0.8125	1	0.923076923076923	0.923076923076923	1	1	0.944444444444444	1	0.962962962962963	0.96875	0.9	0.875	1	.	1	0.714285714285714	1	1	0.846153846153846
chr18	48650	0.8	0.714285714285714	1	0.695652173913043	.	0.857142857142857	.	0.866666666666667	0.833333333333333	0.555555555555556	0.666666666666667	0.9	0.8	.	0.555555555555556	0.8	0.6875	0.615384615384615	0.846153846153846	0.666666666666667	.	1	.	0.833333333333333	.	1
chr18	48651	0.3125	0.571428571428571	0.823529411764706	0.857142857142857	0.888888888888889	0.333333333333333	0.8	0.733333333333333	0.8	0.636363636363636	0.714285714285714	0.791666666666667	0.903225806451613	0.923076923076923	0.777777777777778	0.684210526315789	0.836734693877551	0.774193548387097	0.96	0.96551724137931	0.823529411764706	0.7	0.80952380952381	0.75	0.846153846153846	0.954545454545455
chr18	48665	0.8	1	0.666666666666667	0.8	.	0.714285714285714	.	0.75	.	0.666666666666667	0.833333333333333	0.933333333333333	0.888888888888889	1	0.571428571428571	0.8	0.727272727272727	1	0.882352941176471	0.857142857142857	.	0.875	1	0.875	0.666666666666667	0.857142857142857
