"UC_0773"	"NN_0141"	"NN_0155"	"UC_0854"	"UC_0387"	"UC_0366"	"UC_0703"	"UC_0288"	"UC_0912"	"UC_0895"	"NN_0809"	"NN_0681"	"NN_0762"	"NN_0643"	"UC_0297"	"NN_0477"	"NN_0504"	"NN_0662"	"UC_0765"	"UC_0524"	"UC_0423"	"UC_0426"	"UC_0157"	"UC_0508"	"UC_0813"	"UC_0994"
"chr18.46142"	3	6	4	6	0	7	10	8	5	7	5	18	8	3	8	6	10	9	7	7	5	6	4	7	2	1
"chr18.46193"	1	3	6	4	5	3	6	7	0	8	1	8	12	1	3	5	9	5	7	8	8	7	8	2	4	1
"chr18.46233"	5	8	6	7	0	2	9	19	0	7	9	10	5	10	3	9	5	10	5	3	0	0	7	0	0	0
"chr18.46234"	9	11	18	16	9	8	8	15	5	18	12	23	24	6	7	15	18	11	18	12	4	11	6	12	4	12
"chr18.46242"	9	11	16	14	7	12	11	18	7	19	12	22	22	7	6	17	18	16	18	11	7	12	10	12	6	7
"chr18.47554"	0	0	3	9	7	0	0	6	4	9	6	8	9	6	0	16	18	10	17	8	0	0	7	9	9	4
"chr18.47609"	4	16	10	6	6	11	5	10	5	17	21	12	12	6	5	15	19	15	7	13	5	5	7	10	0	4
"chr18.47610"	6	5	13	18	8	9	8	25	6	15	17	14	21	9	6	25	31	16	26	14	8	6	7	10	7	11
"chr18.47649"	6	7	15	6	0	5	0	10	0	9	11	12	7	5	5	13	19	17	11	11	1	4	5	5	5	5
"chr18.47650"	2	9	12	17	6	10	6	24	3	9	11	12	18	8	9	16	33	11	12	13	5	10	3	6	7	9
"chr18.47668"	0	5	16	8	0	12	0	15	0	8	15	17	10	9	6	15	19	9	6	10	0	6	4	6	5	8
"chr18.47669"	6	8	12	12	7	11	6	20	4	11	15	13	26	16	10	21	31	17	13	12	5	13	4	6	10	16
"chr18.47680"	0	0	16	10	0	10	0	15	0	8	12	16	11	12	3	14	18	8	12	7	4	6	5	5	5	8
"chr18.47681"	11	6	13	15	10	9	7	27	5	14	13	17	21	16	10	26	35	18	12	14	0	14	3	5	9	15
"chr18.47686"	0	0	13	11	0	4	0	12	0	7	12	11	7	8	4	9	16	9	8	6	1	2	7	0	0	9
"chr18.47687"	10	7	13	17	12	10	8	26	6	12	12	19	22	17	12	26	31	18	14	15	0	10	5	6	9	11
"chr18.48650"	4	5	12	16	0	6	0	13	5	5	4	9	8	0	5	4	11	8	11	6	0	5	0	5	0	9
"chr18.48651"	5	4	14	18	8	2	8	22	8	7	10	19	28	12	7	13	41	24	24	28	14	7	17	18	11	21
"chr18.48665"	4	6	6	20	0	5	0	12	0	8	5	14	8	7	4	4	8	14	15	12	0	7	5	7	4	12
"chr18.48666"	10	5	13	27	9	6	11	32	8	7	13	27	32	14	11	15	50	34	21	26	15	13	19	22	14	21
"chr18.48709"	7	4	7	15	0	4	4	12	0	8	9	15	8	6	5	12	9	11	15	15	0	4	6	7	7	13
