"UC_0773"	"NN_0141"	"NN_0155"	"UC_0854"	"UC_0387"	"UC_0366"	"UC_0703"	"UC_0288"	"UC_0912"	"UC_0895"	"NN_0809"	"NN_0681"	"NN_0762"	"NN_0643"	"UC_0297"	"NN_0477"	"NN_0504"	"NN_0662"	"UC_0765"	"UC_0524"	"UC_0423"	"UC_0426"	"UC_0157"	"UC_0508"	"UC_0813"	"UC_0994"
"chr18.48650"	0.8	0.714285714285714	1	0.695652173913043	0	0.857142857142857	0.798913043478261	0.866666666666667	0.833333333333333	0.555555555555556	0.666666666666667	0.9	0.8	0.80724358974359	0.555555555555556	0.8	0.6875	0.615384615384615	0.846153846153846	0.666666666666667	0.85	1	0.734054487179487	0.833333333333333	0.741944444444444	1
"chr18.48651"	0.3125	0.571428571428571	0.823529411764706	0.857142857142857	0.888888888888889	0.333333333333333	0.8	0.733333333333333	0.8	0.636363636363636	0.714285714285714	0.791666666666667	0.903225806451613	0.923076923076923	0.777777777777778	0.684210526315789	0.836734693877551	0.774193548387097	0.96	0.96551724137931	0.823529411764706	0.7	0.80952380952381	0.75	0.846153846153846	0.954545454545455
"chr18.48665"	0.8	1	0.666666666666667	0.8	0	0.714285714285714	0.859722222222222	0.75	0.839565826330532	0.666666666666667	0.833333333333333	0.933333333333333	0.888888888888889	1	0.571428571428571	0.8	0.727272727272727	1	0.882352941176471	0.857142857142857	0.893055555555555	0.875	1	0.875	0.666666666666667	0.857142857142857
"chr18.48666"	0.666666666666667	0.833333333333333	1	0.964285714285714	0.818181818181818	0.666666666666667	1	0.8	0.888888888888889	0.583333333333333	0.866666666666667	0.9	0.864864864864865	0.933333333333333	0.846153846153846	0.833333333333333	0.87719298245614	0.739130434782609	0.84	0.928571428571429	0.833333333333333	0.928571428571429	0.863636363636364	0.846153846153846	0.875	0.954545454545455
"chr18.48709"	0.875	0.444444444444444	0.875	0.714285714285714	0	0.4	0.666666666666667	0.8	0.81719696969697	0.8	1	0.9375	0.8	0.857142857142857	0.833333333333333	1	0.75	0.846153846153846	0.9375	0.681818181818182	0.848660714285714	0.666666666666667	0.857142857142857	0.875	0.777777777777778	0.764705882352941
"chr18.48710"	0.714285714285714	0.75	0.789473684210526	0.896551724137931	0.545454545454545	0.75	0.666666666666667	0.630434782608696	0.666666666666667	0.5	0.571428571428571	0.894736842105263	0.851851851851852	0.833333333333333	0.785714285714286	0.6	0.862745098039216	0.818181818181818	0.823529411764706	0.862068965517241	1	0.708333333333333	0.684210526315789	0.692307692307692	0.620689655172414	0.766666666666667
"chr18.48727"	0.9	1	0.625	1	1	1	0.944444444444444	1	1	0.888888888888889	0.777777777777778	0.75	0.888888888888889	0.851111111111111	1	1	0.75	0.866666666666667	0.8125	0.954545454545455	0.909722222222222	0.666666666666667	0.833333333333333	0.888888888888889	1	1
"chr18.48728"	0.894736842105263	1	0.941176470588235	1	0.727272727272727	0.7	0.928571428571429	0.846153846153846	0.727272727272727	0.6875	0.857142857142857	0.947368421052632	0.884615384615385	1	0.857142857142857	1	0.931034482758621	0.8	0.894736842105263	1	0.888888888888889	0.814814814814815	0.928571428571429	0.958333333333333	0.676470588235294	1
"chr18.48766"	0.6	0.666666666666667	1	1	0	0.916666666666667	0.944444444444445	0.833333333333333	0.876282051282051	0.833333333333333	0.75	1	1	0.872268907563025	1	1	1	0.647058823529412	1	0.923076923076923	0.944444444444445	0.875	0.876050420168067	0.857142857142857	1	0.857142857142857
"chr18.48767"	0.9375	1	1	0.823529411764706	1	0.888888888888889	0.733333333333333	0.966666666666667	0.888888888888889	0.714285714285714	0.944444444444444	0.8	0.92	0.944444444444444	1	0.846153846153846	0.883720930232558	0.92156862745098	1	0.91304347826087	0.666666666666667	0.863636363636364	0.909090909090909	0.935483870967742	0.727272727272727	0.611111111111111
