"seqnames"	"start"	"end"	"width"	"strand"	"L"	"area"	"beta"	"stat"	"pval"	"qval"	"index.start"	"index.end"	"index.width"	"rawDiff"	"Comp"	"Class"
"1"	"chr18"	10032649	10032884	236	"*"	38	13.5152112177674	-0.767280254906019	-22.4314464111012	0.00258397932816537	0.00767740011926058	7537	7574	38	-0.354260225564251	"UC-N"	"hypo"
"2"	"chr18"	47247676	47249297	1622	"*"	120	18.3311148002792	-0.413898849109046	-22.2308811284819	0.00258397932816537	0.00767740011926058	28607	28726	120	-0.160244101662303	"UC-N"	"hypo"
"3"	"chr18"	13611340	13611792	453	"*"	22	5.94739455631941	-0.603477962988985	-20.1074057412187	0.00258397932816537	0.00767740011926058	12375	12396	22	-0.266555256261166	"UC-N"	"hypo"
"4"	"chr18"	23231354	23231587	234	"*"	18	6.63303461047301	-0.839297415497939	-19.3548582380469	0.00258397932816537	0.00767740011926058	16195	16212	18	-0.376611495194576	"UC-N"	"hypo"
"5"	"chr18"	80159661	80160314	654	"*"	30	11.1558365765248	-0.990928796875613	-19.1252917515978	0.00258397932816537	0.00767740011926058	53732	53761	30	-0.383005146847654	"UC-N"	"hypo"
"6"	"chr18"	13222525	13222659	135	"*"	24	4.86420933580056	0.502941192336905	18.7659939703305	0.00258397932816537	0.00767740011926058	12079	12102	24	0.184133031259354	"UC-N"	"hyper"
"7"	"chr18"	76402550	76402835	286	"*"	39	7.20990793143517	-0.559664422620752	-18.7122459956423	0.00258397932816537	0.00767740011926058	43714	43752	39	-0.193226297365722	"UC-N"	"hypo"
"8"	"chr18"	79436098	79436321	224	"*"	45	14.2312208996408	-0.711329587038354	-18.2598883835033	0.00258397932816537	0.00767740011926058	49636	49680	45	-0.309283167443848	"UC-N"	"hypo"
"9"	"chr18"	61554219	61554818	600	"*"	64	13.3141467566314	-0.647898188845387	-18.0052983276367	0.00258397932816537	0.00767740011926058	37647	37710	64	-0.208122189142065	"UC-N"	"hypo"
"10"	"chr18"	57121729	57122091	363	"*"	38	7.87472793192652	-0.484616721384765	-17.5800512350135	0.00258397932816537	0.00767740011926058	34028	34065	38	-0.189122044160677	"UC-N"	"hypo"
