"seqnames"	"start"	"end"	"width"	"strand"	"block_mean"	"block_sum"	"L"	"PC"	"imp"
"chr18.1"	"chr18"	48650	48821	172	"*"	345.2	5178	15	0.837646297877624	0.1
"chr18.2"	"chr18"	49506	49749	244	"*"	343.666666666667	8248	24	0.786248329640739	0.163461538461538
"chr18.3"	"chr18"	73022	73175	154	"*"	355.807692307692	9251	26	0.745458372471698	0.105029585798817
"chr18.4"	"chr18"	73189	73409	221	"*"	456.975	18279	40	0.562115687030356	0.075
"chr18.5"	"chr18"	73446	73562	117	"*"	481.666666666667	8670	18	0.313300906113469	0.0192307692307692
"chr18.6"	"chr18"	75524	75865	342	"*"	378.052631578947	14366	38	0.757441384068266	0.13663967611336
"chr18.7"	"chr18"	75715	75771	57	"*"	527.882352941176	8974	17	0.713682570907214	0.0588235294117647
"chr18.8"	"chr18"	76012	76056	45	"*"	219.375	1755	8	0.377139164135005	0.206730769230769
"chr18.11"	"chr18"	499316	499721	406	"*"	325.763157894737	12379	38	0.0442014883156128	0.0951417004048583
"chr18.13"	"chr18"	500922	500967	46	"*"	256	1536	6	0.0401172559067296	0.121794871794872
"chr18.14"	"chr18"	596757	597254	498	"*"	326.25	13050	40	0.0540433073720592	0.0971153846153846
"chr18.16"	"chr18"	672819	673112	294	"*"	739.384615384615	9612	13	0.831548219475649	0.0473372781065089
"chr18.18"	"chr18"	712683	713270	588	"*"	362.014925373134	24255	67	0.203941213170483	0.118254879448909
"chr18.21"	"chr18"	903798	903830	33	"*"	593.4	5934	10	0.182060134315172	0
"chr18.22"	"chr18"	904851	904960	110	"*"	545.157894736842	10358	19	0.0871817939965085	0.0404858299595142
"chr18.23"	"chr18"	905450	905560	111	"*"	587.466666666667	8812	15	0.191049850843756	0.0230769230769231
"chr18.24"	"chr18"	908169	908188	20	"*"	256.272727272727	2819	11	0.0368698854718094	0.167832167832168
"chr18.25"	"chr18"	908392	908505	114	"*"	243.5	4383	18	0.134847419862403	0.158119658119658
"chr18.26"	"chr18"	909086	909207	122	"*"	439.9375	7039	16	0.182101370222558	0.0528846153846154
"chr18.27"	"chr18"	909179	909194	16	"*"	382.333333333333	3441	9	0.217920073532666	0.115384615384615
"chr18.28"	"chr18"	1098276	1098304	29	"*"	273.6	1368	5	0.877462882993979	0.176923076923077
"chr18.29"	"chr18"	1099226	1099270	45	"*"	301.333333333333	2712	9	0.927477929441278	0.14957264957265
"chr18.34"	"chr18"	2846183	2846426	244	"*"	1228.55555555556	11057	9	0.136815112348346	0.0598290598290598
"chr18.37"	"chr18"	2907165	2907350	186	"*"	550.923076923077	14324	26	0.060052121677245	0.0562130177514793
"chr18.38"	"chr18"	2946805	2946945	141	"*"	856.272727272727	9419	11	0.900587417134192	0.020979020979021
"chr18.39"	"chr18"	2947767	2947974	208	"*"	363.888888888889	3275	9	0.873346197559221	0.141025641025641
"chr18.46"	"chr18"	3412090	3412200	111	"*"	399.931034482759	11598	29	0.132836428148557	0.0928381962864721
"chr18.53"	"chr18"	3499705	3499874	170	"*"	430	3010	7	0.453505568370717	0.0384615384615385
"chr18.56"	"chr18"	3879132	3879337	206	"*"	457.545454545455	15099	33	0.908683775691769	0.108391608391608
"chr18.57"	"chr18"	3879555	3879653	99	"*"	261.285714285714	1829	7	0.870272027878629	0.21978021978022
"chr18.58"	"chr18"	3879983	3880125	143	"*"	546.08	13652	25	0.898729913003126	0.0630769230769231
"chr18.60"	"chr18"	5196318	5196498	181	"*"	446.354838709677	13837	31	0.35477725234062	0.0794044665012407
"chr18.67"	"chr18"	5544209	5544241	33	"*"	468.181818181818	5150	11	0.0438327392454005	0.0454545454545455
"chr18.71"	"chr18"	5891899	5892067	169	"*"	390.869565217391	8990	23	0.747097288777643	0.108695652173913
"chr18.72"	"chr18"	6284353	6284615	263	"*"	420	18480	44	0.906211989848075	0.107517482517483
"chr18.73"	"chr18"	6284869	6284977	109	"*"	236.857142857143	1658	7	0.874518277758335	0.153846153846154
"chr18.77"	"chr18"	6920559	6920921	363	"*"	371.666666666667	15610	42	0.842955985841691	0.136446886446886
"chr18.78"	"chr18"	6929389	6929853	465	"*"	366.111111111111	13180	36	0.793888999704814	0.135683760683761
"chr18.80"	"chr18"	7011270	7011475	206	"*"	856.838709677419	26562	31	0.540756652344693	0.00620347394540943
"chr18.82"	"chr18"	7038786	7038869	84	"*"	350.444444444444	3154	9	0.382182657249789	0.106837606837607
"chr18.83"	"chr18"	7038852	7038945	94	"*"	482.888888888889	4346	9	0.374713574102262	0.0299145299145299
"chr18.84"	"chr18"	7116423	7116736	314	"*"	676.607142857143	18945	28	0.0499399920009976	0.0535714285714286
"chr18.86"	"chr18"	7117760	7117797	38	"*"	291.111111111111	2620	9	0.0839121005291186	0.179487179487179
"chr18.87"	"chr18"	7178723	7178799	77	"*"	411	3699	9	0.824339472807307	0.0213675213675214
"chr18.88"	"chr18"	7362229	7362375	147	"*"	314	2826	9	0.508268006515461	0.132478632478632
"chr18.92"	"chr18"	8366850	8366882	33	"*"	438.444444444444	3946	9	0.77402403251064	0.0854700854700855
"chr18.93"	"chr18"	8366939	8366989	51	"*"	1065.44444444444	9589	9	0.786297818486559	0
"chr18.95"	"chr18"	8608876	8609168	293	"*"	539.741935483871	16732	31	0.0736981576851509	0.0905707196029777
"chr18.97"	"chr18"	8662632	8662731	100	"*"	1513.42857142857	10594	7	0.537571438670208	0.00549450549450549
"chr18.102"	"chr18"	8708559	8708657	99	"*"	544.111111111111	4897	9	0.837812758977782	0.047008547008547
"chr18.103"	"chr18"	8717904	8717928	25	"*"	1212.6	6063	5	0.788496459857799	0.0769230769230769
"chr18.104"	"chr18"	8800226	8800279	54	"*"	648	7776	12	0.828475710038225	0.0416666666666667
"chr18.105"	"chr18"	8934764	8934902	139	"*"	252.666666666667	3032	12	0.754526530262005	0.163461538461538
"chr18.106"	"chr18"	8935460	8935774	315	"*"	247.769230769231	6442	26	0.882585444075064	0.150887573964497
"chr18.110"	"chr18"	9333900	9333989	90	"*"	535	3745	7	0.0715452915341105	0.0274725274725275
"chr18.111"	"chr18"	9333908	9333956	49	"*"	396.666666666667	5950	15	0.163109984735455	0.058974358974359
"chr18.116"	"chr18"	9707658	9707834	177	"*"	350.4375	5607	16	0.225752288566173	0.0673076923076923
"chr18.117"	"chr18"	9707863	9707948	86	"*"	377.35	7547	20	0.180878080282931	0.0769230769230769
"chr18.119"	"chr18"	9912837	9913009	173	"*"	1454.69230769231	18911	13	0.855884133561013	0
"chr18.122"	"chr18"	10032649	10032884	236	"*"	437.657894736842	16631	38	0.33976878639714	0.0668016194331984
"chr18.123"	"chr18"	10414415	10414577	163	"*"	1107.76	27694	25	0.882558464765351	0.0261538461538462
"chr18.125"	"chr18"	10525450	10525531	82	"*"	550.583333333333	6607	12	0.447717991347323	0.0673076923076923
"chr18.127"	"chr18"	10726416	10726613	198	"*"	491.622222222222	22123	45	0.162790545960127	0.0572649572649573
"chr18.128"	"chr18"	10726637	10726669	33	"*"	605.307692307692	7869	13	0.242555395475625	0.0029585798816568
"chr18.129"	"chr18"	11148589	11148712	124	"*"	363.25	7265	20	0.120834500194158	0.159615384615385
"chr18.130"	"chr18"	11148681	11148717	37	"*"	365.833333333333	2195	6	0.168142821695997	0.108974358974359
